Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_por_mes;Valor_por_ano;Possui_suite
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;2200.0;26460.0;Não
Casa;Jardim Botânico;2;0;1;100;7000.0;;;;;Sim
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;9220.0;111751.0;Não
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;1190.0;14300.0;Não
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;;1030.0;;Não
Apartamento;Vista Alegre;3;1;0;70;1200.0;;;;;Não
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;1601.0;19229.0;Não
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;;;;;Sim
Casa de Condomínio;Ramos;2;2;0;65;1000.0;;;;;Não
Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;54193.0;653346.0;Não
Apartamento;Centro;1;0;0;36;1200.0;;;;;Não
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;2142.0;25778.0;Não
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;1955.0;23474.0;Sim
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;2561.0;30782.0;Sim
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;;2301.0;;Não
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;15000.0;180803.0;Sim
Prédio Inteiro;Botafogo;0;0;0;536;28000.0;;3563.0;;;Não
Flat;Botafogo;3;1;1;80;3800.0;1040.0;;4840.0;;Sim
Casa de Condomínio;Taquara;3;1;1;115;2000.0;;;;;Sim
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;1250.0;15028.0;Não
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;2289.0;27615.0;Sim
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;2600.0;31338.0;Não
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;;10195.0;;Sim
Apartamento;Olaria;3;1;0;68;1000.0;670.0;;1670.0;;Não
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;;2700.0;;Não
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;6400.0;78300.0;Não
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;;1700.0;;Não
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9100.0;109663.0;Sim
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;1522.0;18289.0;Não
Loja/Salão;Campo Grande;0;1;0;35;1300.0;950.0;;2250.0;;Não
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;5700.0;68900.0;Sim
Casa;Campo Grande;4;1;2;400;12000.0;;;;;Sim
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;;3240.0;;Não
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;12150.0;146500.0;Sim
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;7280.0;87780.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;;;;;Não
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;;2948.0;;Sim
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;5400.0;64920.0;Não
Conjunto Comercial/Sala;Centro;0;5;0;1306;117540.0;19486.0;;137026.0;;Não
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;1680.0;20213.0;Não
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;5280.0;63856.0;Sim
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;2895.0;34880.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500.0;250.0;;1750.0;;Não
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;7500.0;94100.0;Não
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;6500.0;78450.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;460;7500.0;4797.0;2019.0;12297.0;149583.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;1170;140456.0;23409.0;5852.0;163865.0;1972232.0;Não
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;;4340.0;;Sim
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;;2980.0;;Sim
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;2950.0;35470.0;Sim
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;6500.0;78300.0;Sim
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;3140.0;37880.0;Sim
Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0;2980.0;36011.0;Não
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0;5160.0;62120.0;Não
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;1121.0;13471.0;Não
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;2650.0;31875.0;Não
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;1930.0;23237.0;Não
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;2760.0;33277.0;Sim
Loja/Salão;Copacabana;0;0;0;34;2000.0;735.0;;2735.0;;Não
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;;26600.0;;Sim
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;8800.0;106034.0;Sim
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500.0;1546.0;;3046.0;;Não
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;21100.0;253600.0;Sim
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;4505.0;54277.0;Não
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;2394.0;28808.0;Não
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;1785.0;21448.0;Não
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;7355.0;88549.0;Sim
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;2400.0;28882.0;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;2525.0;30500.0;Sim
Conjunto Comercial/Sala;Méier;0;0;0;32;700.0;380.0;56.0;1080.0;13016.0;Não
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;2456.0;29570.0;Sim
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;;10400.0;;Sim
Conjunto Comercial/Sala;Centro;0;0;0;1;2850.0;2050.0;;4900.0;;Não
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;10800.0;130100.0;Sim
Casa;Méier;2;0;0;51;1500.0;50.0;;1550.0;;Não
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;;5170.0;;Não
Apartamento;Barra da Tijuca;2;1;1;70;;970.0;68.0;;;Sim
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;1380.0;16840.0;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700.0;1010.0;56.0;1710.0;20576.0;Não
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;2500.0;682.0;112.0;3182.0;38296.0;Não
Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;40000.0;;;;;Não
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850.0;719.0;;1569.0;;Não
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;30000.0;372000.0;Sim
Casa Comercial;Botafogo;0;0;0;140;7000.0;;137.0;;;Não
Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;9800.0;;820.0;;;Não
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;;3700.0;;Sim
Conjunto Comercial/Sala;Centro;0;1;0;390;25397.0;12090.0;1318.0;37487.0;451162.0;Não
Conjunto Comercial/Sala;Centro;0;0;0;320;12000.0;3740.0;1541.0;15740.0;190421.0;Não
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;4490.0;54125.0;Sim
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;17100.0;206640.0;Sim
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;3964.0;47974.0;Sim
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;1080.0;12974.0;Não
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;3480.0;41858.0;Não
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;4000.0;50042.0;Sim
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;1640.0;20580.0;Não
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;6907.0;83130.0;Não
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;;2240.0;;Não
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;3900.0;46990.0;Sim
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;2080.0;25033.0;Sim
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;;2882.0;;Não
Quitinete;Centro;0;0;0;30;800.0;505.0;;1305.0;;Não
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;;2780.0;;Sim
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;8800.0;105970.0;Sim
Loja/Salão;Barra da Tijuca;0;0;0;36;5300.0;2114.0;839.0;7414.0;89807.0;Não
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;4050.0;48738.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;95;3800.0;1688.0;392.0;5488.0;66248.0;Não
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;1450.0;17550.0;Não
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;4100.0;49335.0;Sim
Conjunto Comercial/Sala;Centro;0;0;0;310;17050.0;5950.0;1917.0;23000.0;277917.0;Não
